Filename,BugType,MinBugLengthMM,DesiredBugLengthMM,MaxBugLengthMM,BugLengthAsProportionOfImageWidth,Easy,Medium,Hard
caterpillar_freeimage-19790984-high_cutout.jpg,caterpillar,3,15,35,0.6705767351,,,
caterpillar_freeimage-20179959-high_cutout.jpg,caterpillar,8,12,20,2.172222222,,,
caterpillar_freeimage-20422253-high.jpg,caterpillar,6,12,20,1.382621395,,,
caterpillar_freeimage-26545320-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-29472052-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-3099893-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-3392574-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-5396086-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-5661526-high_cutout_cutout.jpg,caterpillar,3,15,35,0.8501799149,,,
caterpillar_freeimage-597787-high_cutout.jpg,caterpillar,3,15,35,0.5541871921,,,
caterpillar_freeimage-603799-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-621694-high_cutout.jpg,caterpillar,5,10,15,0.69,,,
caterpillar_freeimage-632122-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-6503436-high_cutout.jpg,caterpillar,3,15,35,,,,
caterpillar_freeimage-7804936-high_cutout.jpg,caterpillar,3,15,35,0.7417608286,,,
caterpillar_freeimage-7911683-high_cutout.jpg,caterpillar,3,15,35,,,,
daddy-long-legs_4956032.jpeg,daddy longlegs,4,6,10,,,,
daddy-long-legs-2675120_640_cutout.jpg,daddy longlegs,4,6,10,,,,
dragonfly_4901216_cutout.jpg,other,15,25,30,,0,0,1
fly_13355050_cutout.jpeg,fly,2,4,8,,,,
fly_bug-191085_640_cutout.jpg,fly,2,4,8,,,,
fly_citroenpendel-hoverfly-2879849_640_cutout.jpg,fly,2,4,8,,,,
fly_freeimage-119960831-high_cutout.jpg,fly,2,4,8,,,,
grasshopper_18656440_cutout.jpg,grasshopper,10,15,25,0.6640502355,,,
grasshopper_19602075_cutout.jpeg,grasshopper,10,15,25,0.2114467409,,,
grasshopper_tettigonia-viridissima-2773063_640_cutout.jpg,grasshopper,10,15,25,,,,
grasshopper-1857137_640.jpg,grasshopper,10,15,25,,,,
grasshopper-262616_640_cutout.jpg,grasshopper,10,15,25,,,,
grasshopper-3343500_640_cutout.jpg,grasshopper,10,15,25,,,,
grasshopper-3955387_640_cutout.jpg,grasshopper,8,10,15,,,,
leafhopper_14721060_cutout.jpg,leafhopper,3,8,12,0.5142428786,,,
leafhopper_7569786_cutout.jpg,leafhopper,3,8,12,0.4642857143,,,
leafhopper_cicada-2003429_640_cutout.jpg,leafhopper,3,8,12,,,,
leafhopper_freeimage-5878255-high.jpg,leafhopper,7,11,20,0.5631313131,,,
leafhopper_insect-2581725_640_cutout.jpg,leafhopper,3,8,12,,,,
leafhopper-1626571_640_cutout.jpg,leafhopper,3,8,12,,,,
leafhopper-562118_1280_cutout.jpg,leafhopper,3,8,12,,,,
moth_14802262_cutout.jpeg,butterflies and moths,10,15,25,,,,
moth_17848810_cutout.jpeg,butterflies and moths,10,15,25,,,,
moth_18834522_cutout.jpg,butterflies and moths,10,15,25,0.4980237154,,,
moth_3237341_cutout.jpg,butterflies and moths,10,15,25,0.9704697987,,,
moth-1749434_640_cutout.jpg,butterflies and moths,10,15,25,0.3076923077,,,
moth-1749439_640_cutout.jpg,butterflies and moths,10,15,25,0.3871473354,,,
moth-1749445_640_cutout.jpg,butterflies and moths,10,15,25,,,,
moth-1799612_640_cutout.jpg,butterflies and moths,10,15,25,,,,
other_dragonfly-1967021_640_cutout_cutout.jpg,,15,25,30,0.6066350711,,,
other_dragonfly-54794_640_cutout.jpg,,15,25,30,,,,
other_millipede_5113690_cutout.jpg,,15,25,30,,,,
spider_20145021_cutout.jpg,spider,4,8,12,0.3664795509,,,
spider_freeimage-661183-high_cutout.jpg,,4,8,12,,,,
spider_nature-3063458_640_cutout.jpg,,4,8,12,,,,
spider-257759_640_cutout.jpg,,4,8,12,,,,
spider-3965087_640_cutout.jpg,,4,8,12,,,,
spider-432896_640_cutout_cutout.jpg,,4,8,12,0.2991266376,,,
spider-771460_640_cutout.jpg,,4,8,12,,,,
treubug_green-stinkwanze-221243_1280.jpg,truebug,10,16,25,0.2586206897,,,
truebug_19764075_cutout.jpg,,10,16,25,,,,
truebug_20212127_cutout.jpeg,,10,16,25,,,,
truebug_beetle-3441772_640_cutout.jpg,,10,16,25,,,,
truebug_bug-1436910_640_cutout.jpg,,10,16,25,,,,
truebug_bug-3761379_640_cutout.jpg,,10,16,25,,,,
truebug_nymph_19521994_cutout.jpg,,3,8,12,,,,
