Filename,BugType,MinBugLengthMM,DesiredBugLengthMM,MaxBugLengthMM,BugLengthAsProportionOfImageWidth,NOTES
fly_citroenpendel-hoverfly-2879849_640_cutout.jpg,fly,2,4,8,,
fly_freeimage-119960831-high_cutout.jpg,fly,2,4,8,,
grasshopper_18656440_cutout.jpg,grasshopper,10,15,25,,
grasshopper_19602075_cutout.jpeg,grasshopper,10,15,25,,
grasshopper_tettigonia-viridissima-2773063_640_cutout.jpg,grasshopper,10,15,25,,
grasshopper-262616_640_cutout.jpg,grasshopper,10,15,25,,
grasshopper-3343500_640_cutout.jpg,grasshopper,10,15,25,,
leafhopper_7569786_cutout.jpg,leafhopper,3,8,12,,
leafhopper_cicada-2003429_640_cutout.jpg,leafhopper,3,8,12,,
leafhopper_insect-2581725_640_cutout.jpg,leafhopper,3,8,12,,
leafhopper-1626571_640_cutout.jpg,leafhopper,3,8,12,,
leafhopper-562118_1280_cutout.jpg,leafhopper,3,8,12,,
moth_14802262_cutout.jpeg,butterflies and moths,10,15,25,,
moth_17848810_cutout.jpeg,butterflies and moths,10,15,25,,
moth_18834522_cutout.jpg,butterflies and moths,10,15,25,,
moth_3237341_cutout.jpg,butterflies and moths,10,15,25,,
moth-1749434_640_cutout.jpg,butterflies and moths,10,15,25,,
moth-1749439_640_cutout.jpg,butterflies and moths,10,15,25,,
moth-1749445_640_cutout.jpg,butterflies and moths,10,15,25,,
moth-1799612_640_cutout.jpg,butterflies and moths,10,15,25,,
other_dragonfly-1967021_640_cutout_cutout.jpg,,15,25,30,,
other_dragonfly-54794_640_cutout.jpg,,15,25,30,,
other_millipede_5113690_cutout.jpg,,15,25,30,,
spider_freeimage-661183-high_cutout.jpg,,4,8,12,,
spider_nature-3063458_640_cutout.jpg,,4,8,12,,
spider-257759_640_cutout.jpg,,4,8,12,,
spider-3965087_640_cutout.jpg,,4,8,12,,
spider-432896_640_cutout_cutout.jpg,,4,8,12,,
spider-771460_640_cutout.jpg,,4,8,12,,
truebug_19764075_cutout.jpg,,10,16,25,,
truebug_20212127_cutout.jpeg,,10,16,25,,
truebug_beetle-3441772_640_cutout.jpg,,10,16,25,,
truebug_bug-1436910_640_cutout.jpg,,10,16,25,,
truebug_bug-3761379_640_cutout.jpg,,10,16,25,,
truebug_nymph_19521994_cutout.jpg,,3,8,12,,
